"sample_name","y","phat","method_name","dataset"
"pat-1",0,0,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-2",1,1,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-4",1,1,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-8",1,0,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-9",0,1,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-10",1,1,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-12",0,0,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-13",1,0,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-15",0,1,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-21",0,0,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-22",1,1,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-23",1,0,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-25",1,0,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-29",1,1,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-30",1,1,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-32",0,1,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-35",1,1,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-36",1,0,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-38",0,1,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-39",1,1,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-41",1,1,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-42",0,0,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-45",1,0,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-47",1,0,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"pat-49",0,0,"demo_logit","sim-data_n-50_p-200_j-3_beta-30_s-39"
"subject1",1,1,"demo_logit","sim-data_n-100_effect-2_sigma-indep_corr-0"
"subject7",1,1,"demo_logit","sim-data_n-100_effect-2_sigma-indep_corr-0"
"subject8",0,1,"demo_logit","sim-data_n-100_effect-2_sigma-indep_corr-0"
"subject12",1,1,"demo_logit","sim-data_n-100_effect-2_sigma-indep_corr-0"
"subject16",1,1,"demo_logit","sim-data_n-100_effect-2_sigma-indep_corr-0"
"subject21",0,0,"demo_logit","sim-data_n-100_effect-2_sigma-indep_corr-0"
"subject24",0,0,"demo_logit","sim-data_n-100_effect-2_sigma-indep_corr-0"
"subject25",1,1,"demo_logit","sim-data_n-100_effect-2_sigma-indep_corr-0"
"subject27",0,0,"demo_logit","sim-data_n-100_effect-2_sigma-indep_corr-0"
"subject28",0,0.151,"demo_logit","sim-data_n-100_effect-2_sigma-indep_corr-0"
"subject32",0,0,"demo_logit","sim-data_n-100_effect-2_sigma-indep_corr-0"
"subject38",0,1,"demo_logit","sim-data_n-100_effect-2_sigma-indep_corr-0"
"subject40",0,0,"demo_logit","sim-data_n-100_effect-2_sigma-indep_corr-0"
"subject43",0,0,"demo_logit","sim-data_n-100_effect-2_sigma-indep_corr-0"
"subject45",0,0.784,"demo_logit","sim-data_n-100_effect-2_sigma-indep_corr-0"
"subject46",1,1,"demo_logit","sim-data_n-100_effect-2_sigma-indep_corr-0"
"subject47",1,1,"demo_logit","sim-data_n-100_effect-2_sigma-indep_corr-0"
"subject51",0,1,"demo_logit","sim-data_n-100_effect-2_sigma-indep_corr-0"
"subject55",0,1,"demo_logit","sim-data_n-100_effect-2_sigma-indep_corr-0"
"subject59",1,1,"demo_logit","sim-data_n-100_effect-2_sigma-indep_corr-0"
"subject60",0,0.012,"demo_logit","sim-data_n-100_effect-2_sigma-indep_corr-0"
"subject68",1,1,"demo_logit","sim-data_n-100_effect-2_sigma-indep_corr-0"
"subject71",0,0,"demo_logit","sim-data_n-100_effect-2_sigma-indep_corr-0"
"subject72",1,1,"demo_logit","sim-data_n-100_effect-2_sigma-indep_corr-0"
"subject75",0,0,"demo_logit","sim-data_n-100_effect-2_sigma-indep_corr-0"
"subject79",0,0,"demo_logit","sim-data_n-100_effect-2_sigma-indep_corr-0"
"subject81",1,1,"demo_logit","sim-data_n-100_effect-2_sigma-indep_corr-0"
"subject82",1,1,"demo_logit","sim-data_n-100_effect-2_sigma-indep_corr-0"
"subject88",1,1,"demo_logit","sim-data_n-100_effect-2_sigma-indep_corr-0"
"subject91",1,1,"demo_logit","sim-data_n-100_effect-2_sigma-indep_corr-0"
"subject6",0,0.326,"demo_logit","sim-data_n-50_effect-2_sigma-indep_corr-1"
"subject7",1,1,"demo_logit","sim-data_n-50_effect-2_sigma-indep_corr-1"
"subject11",1,1,"demo_logit","sim-data_n-50_effect-2_sigma-indep_corr-1"
"subject22",0,0,"demo_logit","sim-data_n-50_effect-2_sigma-indep_corr-1"
"subject23",1,1,"demo_logit","sim-data_n-50_effect-2_sigma-indep_corr-1"
"subject26",1,1,"demo_logit","sim-data_n-50_effect-2_sigma-indep_corr-1"
"subject27",1,1,"demo_logit","sim-data_n-50_effect-2_sigma-indep_corr-1"
"subject30",1,1,"demo_logit","sim-data_n-50_effect-2_sigma-indep_corr-1"
"subject31",1,1,"demo_logit","sim-data_n-50_effect-2_sigma-indep_corr-1"
"subject35",1,1,"demo_logit","sim-data_n-50_effect-2_sigma-indep_corr-1"
"subject40",0,0,"demo_logit","sim-data_n-50_effect-2_sigma-indep_corr-1"
"subject42",0,0,"demo_logit","sim-data_n-50_effect-2_sigma-indep_corr-1"
"subject44",0,0,"demo_logit","sim-data_n-50_effect-2_sigma-indep_corr-1"
"subject46",0,0,"demo_logit","sim-data_n-50_effect-2_sigma-indep_corr-1"
"subject48",1,0.125,"demo_logit","sim-data_n-50_effect-2_sigma-indep_corr-1"
"subject1",0,0,"demo_logit","sim-data_n-50_effect-2_sigma-indep_corr-0.5"
"subject3",1,1,"demo_logit","sim-data_n-50_effect-2_sigma-indep_corr-0.5"
"subject7",0,0,"demo_logit","sim-data_n-50_effect-2_sigma-indep_corr-0.5"
"subject9",0,0,"demo_logit","sim-data_n-50_effect-2_sigma-indep_corr-0.5"
"subject14",1,1,"demo_logit","sim-data_n-50_effect-2_sigma-indep_corr-0.5"
"subject15",1,1,"demo_logit","sim-data_n-50_effect-2_sigma-indep_corr-0.5"
"subject17",1,1,"demo_logit","sim-data_n-50_effect-2_sigma-indep_corr-0.5"
"subject24",1,1,"demo_logit","sim-data_n-50_effect-2_sigma-indep_corr-0.5"
"subject26",0,0,"demo_logit","sim-data_n-50_effect-2_sigma-indep_corr-0.5"
"subject34",0,0,"demo_logit","sim-data_n-50_effect-2_sigma-indep_corr-0.5"
"subject37",1,1,"demo_logit","sim-data_n-50_effect-2_sigma-indep_corr-0.5"
"subject40",1,1,"demo_logit","sim-data_n-50_effect-2_sigma-indep_corr-0.5"
"subject42",0,1,"demo_logit","sim-data_n-50_effect-2_sigma-indep_corr-0.5"
"subject45",0,0,"demo_logit","sim-data_n-50_effect-2_sigma-indep_corr-0.5"
"subject49",0,0,"demo_logit","sim-data_n-50_effect-2_sigma-indep_corr-0.5"
"subject1",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject2",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject5",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject7",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject8",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject10",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject22",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject26",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject27",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject31",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject32",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject33",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject34",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject36",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject37",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject40",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject42",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject44",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject47",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject52",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject68",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject69",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject76",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject80",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject81",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject83",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject85",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject87",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject88",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject96",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject97",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject101",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject102",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject112",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject115",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject116",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject120",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject122",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject124",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject125",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject127",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject132",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject136",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject141",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject142",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject143",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject152",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject154",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject155",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject158",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject160",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject167",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject170",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject171",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject174",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject176",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject178",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject183",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject186",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject187",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject193",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject195",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject199",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject202",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject206",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject215",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject218",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject219",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject227",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject230",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject233",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject240",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject243",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject248",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject252",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject254",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject256",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject262",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject271",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject273",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject276",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject277",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject279",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject281",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject289",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject292",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject294",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject295",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject296",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject297",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject299",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject305",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject310",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject312",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject314",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject315",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject316",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject317",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject322",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject323",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject324",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject325",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject328",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject337",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject339",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject346",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject348",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject351",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject352",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject363",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject365",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject368",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject371",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject372",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject379",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject385",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject392",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject393",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject394",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject399",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject401",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject404",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject405",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject413",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject414",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject420",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject423",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject425",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject427",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject429",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject431",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject435",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject438",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject439",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject441",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject443",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject450",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject456",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject467",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject469",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject472",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject478",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject482",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject486",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject488",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject490",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject491",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject492",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject496",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject500",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0"
"subject1",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject2",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject9",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject12",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject15",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject16",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject24",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject30",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject31",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject36",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject40",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject44",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject45",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject46",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject47",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject48",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject51",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject52",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject57",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject61",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject73",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject74",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject81",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject83",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject84",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject85",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject88",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject93",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject94",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject98",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject99",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject102",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject103",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject109",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject112",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject114",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject116",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject118",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject121",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject122",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject123",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject127",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject132",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject141",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject142",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject143",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject146",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject147",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject148",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject150",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject151",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject156",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject159",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject163",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject165",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject169",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject171",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject176",0,0,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
"subject179",1,1,"demo_logit","sim-data_n-500_effect-2_sigma-indep_corr-0.5"
